filename,pupil_x,pupil_y
gaze_pxm3p0_pym3p0_512.webp,-3.0,-3.0
gaze_pxm3p0_pym6p0_512.webp,-3.0,-6.0
gaze_pxm3p0_pym9p0_512.webp,-3.0,-9.0
gaze_pxm6p0_py0p0_512.webp,-6.0,0.0
gaze_pxm6p0_py12p0_512.webp,-6.0,12.0
gaze_pxm6p0_py15p0_512.webp,-6.0,15.0
gaze_pxm6p0_py3p0_512.webp,-6.0,3.0
gaze_pxm6p0_py6p0_512.webp,-6.0,6.0
gaze_pxm6p0_py9p0_512.webp,-6.0,9.0
gaze_pxm6p0_pym12p0_512.webp,-6.0,-12.0
gaze_pxm6p0_pym15p0_512.webp,-6.0,-15.0
gaze_pxm6p0_pym3p0_512.webp,-6.0,-3.0
gaze_pxm6p0_pym6p0_512.webp,-6.0,-6.0
gaze_pxm6p0_pym9p0_512.webp,-6.0,-9.0
gaze_pxm9p0_py0p0_512.webp,-9.0,0.0
gaze_pxm9p0_py12p0_512.webp,-9.0,12.0
gaze_pxm9p0_py15p0_512.webp,-9.0,15.0
gaze_pxm9p0_py3p0_512.webp,-9.0,3.0
gaze_pxm9p0_py6p0_512.webp,-9.0,6.0
gaze_pxm9p0_py9p0_512.webp,-9.0,9.0
gaze_pxm9p0_pym12p0_512.webp,-9.0,-12.0
gaze_pxm9p0_pym15p0_512.webp,-9.0,-15.0
gaze_pxm9p0_pym3p0_512.webp,-9.0,-3.0
gaze_pxm9p0_pym6p0_512.webp,-9.0,-6.0
gaze_pxm9p0_pym9p0_512.webp,-9.0,-9.0
